LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = right
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', 'left'), ('right', None), ('left', None)], waypoint = forward action = left
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = left
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', 'right'), ('right', None), ('left', None)], waypoint = left action = right
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = right
LearningAgent.update(): iteration = 95, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 96, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 96, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 96, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 96, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 97, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 97, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 97, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = None action = left
LearningAgent.update(): iteration = 97, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = left
LearningAgent.update(): iteration = 97, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 97, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = right
LearningAgent.update(): iteration = 97, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 97, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 97, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 98, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = left
LearningAgent.update(): iteration = 99, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 99, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 99, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 99, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 99, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 99, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 99, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 99, inputs = [('light', 'green'), ('oncoming', None), ('right', 'right'), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 99, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 99, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 99, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = right
LearningAgent.update(): iteration = 99, inputs = [('light', 'green'), ('oncoming', 'left'), ('right', None), ('left', None)], waypoint = right action = forward***********
LearningAgent.update(): iteration = 99, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 99, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 99, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = left
LearningAgent.update(): iteration = 99, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = right
LearningAgent.update(): iteration = 99, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', 'forward'), ('right', None), ('left', None)], waypoint = None action = left
***********LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', 'forward'), ('right', 'forward'), ('left', None)], waypoint = None action = left***********
LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', 'forward'), ('right', None), ('left', None)], waypoint = None action = left
LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', 'forward'), ('right', None), ('left', None)], waypoint = None action = left
LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', 'forward'), ('right', 'left'), ('left', None)], waypoint = None action = left
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', 'left'), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = right
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = right
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = right
LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = right
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = left
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 100, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = left
